D-loss	G-loss	AUC	AP
1.391377	0.820008	0.493321	0.038913
1.401517	0.787634	0.521659	0.042810
1.395124	0.769629	0.576011	0.055962
1.403190	0.755584	0.575706	0.055630
1.404401	0.747113	0.546363	0.050669
1.397696	0.737905	0.546935	0.045997
1.407233	0.730037	0.565256	0.047740
1.452180	0.727198	0.583918	0.050793
1.395460	0.724199	0.575733	0.047797
1.396170	0.721475	0.559919	0.046106
1.432810	0.716804	0.578845	0.050079
1.395479	0.716006	0.602182	0.056086
1.428868	0.713970	0.664103	0.069025
1.444560	0.711904	0.678976	0.072678
1.376470	0.710170	0.640133	0.057912
1.403071	0.709687	0.731414	0.115669
1.410152	0.708462	0.735484	0.121208
1.388313	0.706336	0.749724	0.130094
1.413612	0.706645	0.713004	0.090115
1.382838	0.705641	0.804232	0.146705
1.392349	0.704492	0.712436	0.109725
1.345974	0.704088	0.785409	0.149437
1.395278	0.703552	0.623960	0.070425
1.390295	0.703659	0.538161	0.054152
1.396791	0.703155	0.575517	0.186437
1.405695	0.702824	0.550865	0.155800
1.381958	0.701889	0.646083	0.177200
1.375512	0.701751	0.558992	0.158087
1.361512	0.701179	0.611986	0.154757
1.361315	0.701241	0.619250	0.149961
1.362696	0.700601	0.616712	0.127137
1.378178	0.700206	0.724209	0.179434
1.378144	0.700087	0.714634	0.178361
1.368628	0.699434	0.713426	0.180772
1.349102	0.700125	0.724684	0.185728
1.369190	0.699396	0.525806	0.056098
1.356866	0.700073	0.594694	0.066470
1.372261	0.698982	0.767390	0.193432
1.363676	0.700724	0.756783	0.178566
1.338924	0.698490	0.774934	0.205903
1.338083	0.699033	0.651962	0.072559
1.337410	0.699813	0.726302	0.136315
1.335086	0.698105	0.675071	0.103971
1.346608	0.698233	0.711200	0.173479
1.338085	0.698128	0.742976	0.209256
1.340037	0.697783	0.508463	0.052428
1.331780	0.699570	0.699000	0.178627
1.347257	0.697727	0.696905	0.174876
1.344519	0.698148	0.679067	0.175150
1.326913	0.697411	0.537732	0.076323
1.296356	0.698702	0.703865	0.159816
1.340585	0.697683	0.531894	0.047508
1.316893	0.697378	0.618832	0.086552
1.353791	0.696933	0.648965	0.142580
1.347962	0.696852	0.633872	0.136677
1.300856	0.697153	0.482320	0.039372
1.333124	0.697088	0.683471	0.147867
1.391528	0.699192	0.557969	0.053302
1.343229	0.697593	0.499793	0.040302
1.335520	0.696826	0.590277	0.057250
1.325857	0.696836	0.458335	0.036669
1.326307	0.697081	0.644230	0.103108
1.333956	0.697083	0.566482	0.059037
1.321437	0.696653	0.564684	0.063626
1.336625	0.696598	0.586437	0.089838
1.365469	0.696984	0.391228	0.033594
1.323703	0.698201	0.699451	0.188740
1.362107	0.700765	0.284755	0.027788
1.304586	0.704447	0.702889	0.180386
1.347593	0.700734	0.642364	0.118279
1.305189	0.697843	0.483590	0.038662
1.286679	0.697488	0.566429	0.046765
1.380831	0.948364	0.270947	0.000589
1.338326	0.879161	0.248678	0.000578
1.316733	0.824839	0.245600	0.000577
1.331104	0.789085	0.180466	0.000577
1.320309	0.770078	0.133242	0.000546
1.349909	0.755826	0.089902	0.000522
1.354547	0.744809	0.074595	0.000474
1.362841	0.733888	0.058647	0.000510
1.403437	0.728734	0.046191	0.000466
1.386218	0.724664	0.069782	0.000472
1.394784	0.719564	0.082404	0.000518
1.342459	0.717848	0.108412	0.000531
1.372420	0.715804	0.092960	0.000480
1.368001	0.713209	0.062262	0.000469
1.369716	0.712093	0.077281	0.000474
1.380097	0.709875	0.203747	0.000544
1.357580	0.708885	0.315981	0.000685
1.391988	0.708145	0.255598	0.000585
1.371783	0.706872	0.145885	0.000552
1.357330	0.706466	0.104900	0.000483
1.390660	0.705171	0.175384	0.000568
1.356790	0.704253	0.213250	0.000594
1.362782	0.704635	0.165324	0.000561
1.375347	0.703643	0.200690	0.000588
1.345820	0.702522	0.311849	0.000630
1.361974	0.702263	0.310011	0.000630
1.365449	0.701913	0.094344	0.000481
1.352274	0.703353	0.157990	0.000515
1.374337	0.701260	0.171025	0.000521
1.388740	0.701126	0.239072	0.000569
1.352456	0.700656	0.156152	0.000514
1.368782	0.700584	0.282329	0.000597
1.367035	0.699848	0.267063	0.000586
1.373827	0.699603	0.244464	0.000572
1.360651	0.699487	0.369195	0.000761
1.378556	0.698858	0.337217	0.000656
1.359713	0.698758	0.476677	0.000831
1.349767	0.698320	0.709449	0.001553
1.349587	0.698545	0.518076	0.000892
1.344840	0.698492	0.329863	0.000643
1.362125	0.698763	0.140018	0.000505
1.372815	0.698365	0.249112	0.000580
1.375370	0.698303	0.082383	0.000479
1.357535	0.698349	0.171005	0.000533
1.369612	0.697654	0.283651	0.000681
1.345298	0.697931	0.313770	0.000640
1.350972	0.697392	0.442675	0.000785
1.362602	0.697386	0.642456	0.001234
1.376895	0.697023	0.759833	0.002140
1.366125	0.697015	0.635887	0.001206
1.334941	0.697121	0.587155	0.001063
1.348595	0.696982	0.517931	0.000915
1.370639	0.696761	0.749050	0.002113
1.355838	0.696866	0.570980	0.001021
1.320841	0.697054	0.765514	0.002376
1.370575	0.696410	0.725996	0.001750
1.356588	0.696545	0.393323	0.000717
1.381231	0.696570	0.688254	0.001470
1.372204	0.696762	0.847174	0.003955
1.353179	0.696179	0.848537	0.003440
1.319148	0.696572	0.850768	0.003454
1.345559	0.696076	0.911151	0.011469
1.352269	0.696442	0.167782	0.000518
1.350901	0.697862	0.873884	0.006609
1.401061	0.696834	0.504235	0.000888
1.359660	0.695988	0.890411	0.012766
1.380043	0.695915	0.868637	0.011119
1.344748	0.696031	0.858618	0.008780
1.344067	0.695731	0.485354	0.000851
1.363524	0.695861	0.150719	0.000526
1.370511	0.695843	0.619381	0.001142
1.354470	0.695812	0.830069	0.003643
1.357595	0.695542	0.632313	0.001193
1.363344	0.696136	0.891030	0.007006
1.346151	0.695935	0.905904	0.009857
1.419080	1.057188	0.864300	0.316547
1.354634	0.986927	0.847290	0.054515
1.290357	0.903564	0.822097	0.046477
1.301380	0.854796	0.818668	0.044548
1.286573	0.810348	0.816877	0.044185
1.298686	0.797215	0.811347	0.018868
1.261915	0.779856	0.807830	0.016563
1.280426	0.764419	0.800487	0.015655
1.294006	0.756405	0.788188	0.014924
1.314595	0.750693	0.751471	0.012935
1.344641	0.739394	0.722384	0.011703
1.343944	0.737181	0.691661	0.009814
1.329358	0.731768	0.658438	0.004513
1.364830	0.729239	0.563150	0.001976
1.366628	0.726701	0.469852	0.001207
1.360510	0.723364	0.521677	0.001425
1.359540	0.719926	0.623114	0.002613
1.391519	0.717758	0.610418	0.002393
1.354069	0.717556	0.573767	0.001703
1.339916	0.714159	0.528069	0.001444
1.337084	0.713837	0.505331	0.001326
1.366835	0.712661	0.518182	0.001408
1.366444	0.711689	0.531144	0.001580
1.361069	0.709216	0.422628	0.001013
1.334436	0.710172	0.447335	0.001093
1.357880	0.708245	0.429728	0.001029
1.333212	0.708494	0.449834	0.001072
1.351605	0.708248	0.551228	0.001540
1.332965	0.707472	0.220902	0.000670
1.326825	0.706670	0.340566	0.000817
1.309552	0.704753	0.486861	0.001139
1.357805	0.704762	0.478876	0.001118
1.345915	0.704557	0.346870	0.000820
1.312345	0.705157	0.440721	0.000987
